feature,importance
vix,0.025521812862770315
kc_width,0.022349217123923844
epi_adx,0.021252763592709653
us10y_rsi,0.02099331620449678
auto_adx,0.02015226062393038
pe_ratio,0.020026552892973327
gold_adx,0.018216528147412078
it_macd,0.017822610597961322
atr10,0.01739858723616658
hsi_rsi,0.016950713533883586
inda_adx,0.016778284555811655
infy_adx,0.015618069506439805
yield_spread,0.01458888184882956
hdfc_adx,0.013692656915004124
fmcg_adx,0.013519870052328716
atr5,0.013399617832644685
icici_macd,0.012322104782871157
shanghai_rsi,0.012109148576545136
usvix_adx,0.011678038679503818
adx,0.011525562533921644
itc_adx,0.011149288279710996
fmcg_rsi,0.01101057520274678
hsi_macd,0.011006737136719673
infy_macd,0.010924091287528713
tcs_adx,0.010681615294061197
metal_adx,0.010636718482745998
natgas_macd,0.010597633981988888
energy_adx,0.010555218022136712
shanghai_macd,0.00998375649380151
infra_adx,0.00977158200834097
itc_rsi,0.00966375562884851
dxy_macd,0.009538913881303238
it_adx,0.009456671848233513
crude_macd,0.00885805759941713
fmcg_macd,0.008726737990783155
crude_adx,0.008641350271630932
icici_adx,0.008613032826797625
macd_hist,0.008530087482160857
inda_rsi,0.008441389251935667
rel_adx,0.008195896020656684
usvix_macd,0.00804061704139715
us10y_macd,0.007968323261321617
ema_20_dist,0.007748873666162768
tcs_macd,0.007538408648418873
inda_macd,0.0074137299088172645
epi_rsi,0.007291733960461757
gold_rsi,0.007278703563983246
crude_rsi,0.007167635261159365
silver_rsi,0.007093569419631002
pcr,0.007057865596226655
rel_rsi,0.007039631182676301
pharma_macd,0.006975894774605585
copper_macd,0.006683637350254749
itc_wr,0.00668089938273195
natgas_rsi,0.006665422695134523
dxy_rsi,0.0066483647383523805
eem_rsi,0.006613266956782413
pharma_adx,0.0065996000417735635
infy_rsi,0.006552563888669127
icici_rsi,0.006549741633136657
usvix_rsi,0.0064925974677424725
energy_rsi,0.006486254239858047
auto_macd,0.006482796861803907
hdfc_rsi,0.006434465405608135
pharma_rsi,0.006406226410162719
rsi,0.006387670980398289
eem_adx,0.006341047974146315
gold_macd,0.006315887572402125
eem_macd,0.006195554676117352
it_rsi,0.006180293340912917
infra_macd,0.00607985741371906
auto_rsi,0.005994625505450157
energy_macd,0.005945589325726228
itc_macd,0.00593497004431166
tcs_rsi,0.005911134575725805
nikkei_macd,0.005634519643149713
williams_r,0.0056295518715278985
metal_macd,0.005580096869871015
metal_rsi,0.005510156579634575
nikkei_rsi,0.00550338857446041
copper_rsi,0.005493452819328996
silver_macd,0.005484209090876854
bn_macd,0.005447285097150201
ndx_rsi,0.0053720940680444095
ndx_macd,0.005337552436289643
icici_wr,0.005271900661838698
rel_macd,0.005168193543144188
gold_wr,0.005123913569502339
hdfc_macd,0.005116868953884999
usvix_wr,0.005103125392016453
tcs_wr,0.00494239725584277
auto_wr,0.004829271657928365
eem_wr,0.004724591276556181
pcr_ret,0.004335732810793125
it_wr,0.004321581241267748
crude_wr,0.004316685477638378
energy_wr,0.004306796855514759
fmcg_wr,0.004236387514003671
nifty_ret,0.004141712103125024
shanghai_ret,0.004101800906919349
bn_rsi,0.003949050093312677
epi_wr,0.00351870301693879
infra_rsi,0.003500431410201764
usdinr_vel,0.0034946938682700757
hdfc_wr,0.003470805216944939
infy_wr,0.0034643031136685452
rel_wr,0.003423866125490772
icici_ret,0.003360974873909303
metal_wr,0.003344328787527749
epi_macd,0.0033065542957902007
infra_wr,0.0032847462146481225
pharma_wr,0.003277404465350492
vix_ret,0.0030696354699453
inda_ret,0.002740509891955985
us10y_ret,0.002725950311359423
hsi_ret,0.0026601645999267637
gold_ret,0.002506241379105149
hdfc_ret,0.002378025917037641
ndx_ret,0.002339564559417149
copper_ret,0.0023334283493234263
nikkei_ret,0.0023122449667448697
natgas_ret,0.0023052688673839304
energy_ret,0.0022801235079596945
dxy_ret,0.002213789226911474
infra_ret,0.0022096982505623148
crude_ret,0.002117606032586114
infy_ret,0.002048004469539537
usvix_ret,0.0020409084290260162
eem_ret,0.002012807841340273
pharma_ret,0.0019223815291566798
bank_nifty_ret,0.0019113246146716916
tcs_ret,0.001901998374527549
epi_ret,0.0018763522303647145
fmcg_ret,0.0018397808492114252
sp500_vix_ratio,0.0018284957776725618
it_ret,0.00182333295812057
rel_ret,0.001784495733467162
sp500_ret,0.0017578158108345976
metal_ret,0.0017422154604875683
inda_wr,0.001632152318511996
usdinr_ret,0.0016093883678968196
auto_ret,0.0015887873267369942
silver_ret,0.0014847599827574993
bn_vs_nifty,0.001431143678542566
itc_ret,0.0010453133070922954
