feature,importance
vix_spike,0.059589107
dist_from_low_20,0.0540033
bb_width,0.053791676
vix_pct,0.052000254
pcr_z,0.050308492
dist_from_high_20,0.04736606
rsi,0.044666428
consec_up,0.04439155
pct_b,0.043498665
ret_10d,0.043136742
ret_3d,0.042325836
vwap_dev,0.041268945
macd_hist,0.041179404
atr_ratio,0.041160934
ret_5d,0.03872979
or_range,0.03861853
lower_wick,0.033426993
body_pct,0.03073448
upper_wick,0.030042088
intraday_trend,0.029431552
bn_vs_nifty,0.02933777
z20,0.029146284
stoch_k,0.028882544
fii_z,0.027885256
vix_change,0.02507734
trend,0.0
vol_ratio,0.0
buy_pct,0.0
sell_pct,0.0
institutional_proxy,0.0
