n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
50,5,0.01,1.0,0.7032467404004149,0.5371405641034097,UP,0.7252439856529236,0.2747560143470764
50,3,0.01,0.5,0.7053722259302057,0.5296728727936367,UP,0.6444908976554871,0.35550910234451294
50,7,0.01,0.5,0.7066942538146354,0.5337599014935382,UP,0.6868513822555542,0.3131486177444458
50,5,0.01,0.5,0.7071552973299777,0.541189113716695,UP,0.6855033040046692,0.3144966959953308
50,3,0.01,0.8,0.7075235404542576,0.5269683427057394,UP,0.6611640453338623,0.3388359546661377
50,9,0.01,0.5,0.7079084552090631,0.5351094180313,UP,0.6883334517478943,0.3116665482521057
100,3,0.01,0.5,0.7086553059455812,0.537137815597223,UP,0.7006732821464539,0.29932671785354614
50,5,0.01,0.8,0.7095176821453038,0.5324103849557765,UP,0.7108789682388306,0.28912103176116943
50,3,0.01,1.0,0.709789522443999,0.5222354150519193,UP,0.6783155798912048,0.32168442010879517
50,7,0.01,1.0,0.7115805451911307,0.520924377600774,UP,0.7290144562721252,0.27098554372787476
100,3,0.01,0.8,0.7118430858380872,0.5249536876707509,UP,0.7396866083145142,0.26031339168548584
100,5,0.01,0.5,0.7130692037592888,0.5344442795340733,UP,0.7421813011169434,0.25781869888305664
50,9,0.01,1.0,0.7135447151925237,0.5236426502196055,UP,0.72352135181427,0.27647864818573
50,7,0.01,0.8,0.7139844870901308,0.5263334377765684,UP,0.7104583978652954,0.2895416021347046
100,7,0.01,0.5,0.714691292487536,0.5344635190773814,UP,0.7494956851005554,0.2505043148994446
50,3,0.03,0.5,0.7152279079958141,0.5330920144901247,UP,0.7349558472633362,0.2650441527366638
150,3,0.01,0.5,0.7153955836783391,0.5283563383301176,UP,0.752597987651825,0.24740201234817505
100,3,0.01,1.0,0.7155579230277871,0.5033037044366386,UP,0.7624364495277405,0.23756355047225952
100,5,0.01,0.8,0.7169117228215622,0.5351369030931689,UP,0.7922915816307068,0.2077084183692932
50,3,0.05,0.5,0.7171623092395943,0.5385368052463486,UP,0.755388617515564,0.24461138248443604
200,3,0.01,0.5,0.717177676604015,0.5310691139365754,UP,0.7868808507919312,0.21311914920806885
50,9,0.01,0.8,0.7172485978007276,0.5249839212388067,UP,0.7090814113616943,0.29091858863830566
50,5,0.03,0.5,0.717950725943318,0.527028809841851,UP,0.7884382009506226,0.21156179904937744
150,3,0.01,0.8,0.71796384493693,0.5344415310278864,UP,0.793468177318573,0.206531822681427
100,9,0.01,0.5,0.7179838358791839,0.5331167510458066,UP,0.7561329007148743,0.24386709928512573
50,3,0.03,0.8,0.7187185289333796,0.5256545567484072,UP,0.7676849365234375,0.2323150634765625
100,5,0.01,1.0,0.7196663922418732,0.5256710477855285,UP,0.810380756855011,0.189619243144989
250,3,0.01,0.5,0.7206756794107271,0.5324378700176454,UP,0.8104628920555115,0.18953710794448853
200,3,0.01,0.8,0.7218180202401169,0.5337846380492203,UP,0.8235759735107422,0.1764240264892578
50,3,0.03,1.0,0.7220184506051579,0.5175272239537811,UP,0.8172754645347595,0.18272453546524048
150,3,0.01,1.0,0.7221086304248336,0.5154960778816714,UP,0.8165428638458252,0.1834571361541748
150,5,0.01,0.5,0.7234289356898135,0.5317562404832974,UP,0.7997622489929199,0.20023775100708008
250,3,0.01,0.8,0.7236230312780568,0.5405652028122715,UP,0.8474320769309998,0.15256792306900024
100,3,0.03,0.8,0.7243541098102627,0.5338011290863416,UP,0.8495688438415527,0.15043115615844727
100,7,0.01,1.0,0.7244256075894007,0.5277049423638253,UP,0.8273815512657166,0.17261844873428345
300,3,0.01,0.5,0.7245781557702492,0.527713187882386,UP,0.821574330329895,0.17842566967010498
100,7,0.01,0.8,0.7251115624413113,0.5297333399297481,UP,0.7890106439590454,0.2109893560409546
150,7,0.01,0.5,0.7252111085444728,0.5270370553604117,UP,0.8057050108909607,0.1942949891090393
50,3,0.05,0.8,0.7253532840171776,0.5283865718981734,UP,0.8259734511375427,0.17402654886245728
100,3,0.03,0.5,0.7260884729730493,0.5324516125485799,UP,0.7972654700279236,0.20273452997207642
150,5,0.01,0.8,0.726102856508847,0.5270315583480378,UP,0.8532989621162415,0.14670103788375854
200,3,0.01,1.0,0.7263085120355827,0.5195776095691991,UP,0.8515890836715698,0.14841091632843018
50,3,0.1,0.8,0.7276643337039416,0.5439596079530775,UP,0.8449360728263855,0.1550639271736145
50,9,0.03,0.5,0.7277454235630687,0.5365084076804257,UP,0.7832927703857422,0.2167072296142578
200,5,0.01,0.5,0.7277913112330269,0.5263609228384373,UP,0.8302662968635559,0.1697337031364441
300,3,0.01,0.8,0.7280226008663745,0.5419312103871546,UP,0.861291229724884,0.13870877027511597
50,7,0.03,0.5,0.7290510517983644,0.5229775117223788,UP,0.7932310104370117,0.20676898956298828
50,5,0.03,0.8,0.7291159463140579,0.5189124710719724,UP,0.8369552493095398,0.1630447506904602
100,9,0.01,1.0,0.7296036214328261,0.5398863217841104,UP,0.8246538043022156,0.17534619569778442
50,3,0.05,1.0,0.7297548450483441,0.5331359905891149,UP,0.8665464520454407,0.13345354795455933
150,5,0.01,1.0,0.7309756192023324,0.527028809841851,UP,0.8749459981918335,0.1250540018081665
50,5,0.03,1.0,0.7313287761307165,0.532448864042393,UP,0.8755066990852356,0.1244933009147644
250,3,0.01,1.0,0.7318873983246498,0.532446115536206,UP,0.8801867961883545,0.11981320381164551
100,9,0.01,0.8,0.7322136132854992,0.5256765447979023,UP,0.7828791737556458,0.21712082624435425
200,5,0.01,0.8,0.7324190419853155,0.5223096247189652,UP,0.8774961829185486,0.12250381708145142
100,3,0.05,0.5,0.7326717140262478,0.5257012813535843,UP,0.815719485282898,0.18428051471710205
150,3,0.03,0.5,0.732903583732873,0.5371900372147738,UP,0.8349536061286926,0.16504639387130737
150,9,0.01,0.5,0.7330384502131903,0.5175739485589582,UP,0.8006085753440857,0.1993914246559143
250,5,0.01,0.5,0.7340577779008632,0.5263719168631847,UP,0.8554322123527527,0.14456778764724731
200,7,0.01,0.5,0.7344248942795017,0.5148694184710609,UP,0.8490094542503357,0.1509905457496643
100,3,0.03,1.0,0.7368595032893331,0.5338011290863416,UP,0.8944520950317383,0.10554790496826172
300,3,0.01,1.0,0.7373353587139877,0.535158891142664,UP,0.8953902721405029,0.10460972785949707
250,5,0.01,0.8,0.7382877235486583,0.5142015314676474,UP,0.8993751406669617,0.10062485933303833
50,3,0.1,0.5,0.7385912553290112,0.5365166531989863,UP,0.8228223323822021,0.17717766761779785
100,5,0.03,0.5,0.7387794045556811,0.5223206187437128,UP,0.8569841980934143,0.1430158019065857
50,7,0.03,0.8,0.7388380645956479,0.5196023461248811,UP,0.8589356541633606,0.1410643458366394
200,3,0.03,0.5,0.739120131851453,0.529760824991617,UP,0.8676736354827881,0.13232636451721191
