feature,importance
vix_spike,0.059881385
dist_from_low_20,0.056633793
bb_width,0.047851097
macd_hist,0.04684914
vix_pct,0.042601977
stoch_k,0.041405693
atr_ratio,0.037632585
dist_from_high_20,0.03693256
rsi,0.03631859
ret_3d,0.036027703
ret_10d,0.035518512
upper_wick,0.035167675
ret_5d,0.03459672
vwap_dev,0.033530887
or_range,0.033431314
body_pct,0.032805037
pct_b,0.032399137
trend,0.03235146
buy_pct,0.030831585
bn_vs_nifty,0.030170241
z20,0.029421575
lower_wick,0.02929788
intraday_trend,0.029232373
consec_up,0.029135764
fii_z,0.028741619
pcr_z,0.028493159
vix_change,0.026561193
sell_pct,0.026179302
vol_ratio,0.0
institutional_proxy,0.0
