n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,3,0.01,0.5,0.6822374564972412,0.5629572827168433,UP,0.6556629538536072,0.3443370461463928
150,3,0.01,0.5,0.6828111470500895,0.5561767179537921,UP,0.626315712928772,0.373684287071228
150,3,0.01,0.8,0.6829186029576096,0.5595766201069718,UP,0.6231499910354614,0.3768500089645386
250,3,0.01,0.5,0.6829782928466063,0.567681964852103,UP,0.6822741031646729,0.31772589683532715
50,3,0.03,0.8,0.6830509055585335,0.5555143279627522,UP,0.6413417458534241,0.3586582541465759
200,3,0.01,0.8,0.683443273521668,0.5494236382526098,UP,0.6542633771896362,0.34573662281036377
100,3,0.01,0.5,0.6840887008857233,0.5460347301241775,UP,0.6018351316452026,0.39816486835479736
300,3,0.01,0.5,0.6842395684846942,0.5656480702738061,UP,0.7014859914779663,0.2985140085220337
100,5,0.01,0.8,0.6842647167923214,0.5487475057306354,UP,0.6370002627372742,0.36299973726272583
50,3,0.03,0.5,0.6844174457011939,0.556863844500514,UP,0.6182402968406677,0.3817597031593323
50,5,0.01,0.8,0.684430232241643,0.5433302000362803,UP,0.5775977373123169,0.4224022626876831
100,3,0.01,0.8,0.6846439459129826,0.5494236382526098,UP,0.5835376977920532,0.4164623022079468
250,3,0.01,0.8,0.6846707256016865,0.5514437902999719,UP,0.6663234829902649,0.3336765170097351
100,5,0.01,0.5,0.6856346646934727,0.5426513190081191,UP,0.6461829543113708,0.35381704568862915
150,5,0.01,0.8,0.6857959487532383,0.5541565659064299,UP,0.6794648766517639,0.3205351233482361
100,7,0.01,0.5,0.6860366342150607,0.5379128943419252,UP,0.6271253228187561,0.3728746771812439
100,3,0.01,1.0,0.6864286271637329,0.5358927422945629,UP,0.5880427360534668,0.4119572639465332
50,5,0.01,0.5,0.6864414603084074,0.5352166097725886,UP,0.573906421661377,0.42609357833862305
50,3,0.01,0.5,0.6864868810176586,0.5500997707745839,UP,0.5468307733535767,0.45316922664642334
100,9,0.01,0.5,0.6865310201907474,0.5392706563982476,UP,0.6244454383850098,0.37555456161499023
50,3,0.01,0.8,0.6866229193060077,0.5575454740348621,UP,0.5404223203659058,0.45957767963409424
50,7,0.01,0.5,0.6866686077845161,0.5271085165212707,UP,0.5689694881439209,0.4310305118560791
50,9,0.01,0.5,0.6867416245618405,0.5271030195088969,UP,0.5744802355766296,0.42551976442337036
300,3,0.01,0.8,0.6867556467611294,0.5500942737622103,UP,0.6904207468032837,0.3095792531967163
50,5,0.03,0.8,0.6869406887865693,0.5500887767498365,UP,0.6860410571098328,0.31395894289016724
50,3,0.05,0.8,0.6871303034498832,0.5629545342106564,UP,0.7000443339347839,0.29995566606521606
50,5,0.03,0.5,0.6873895376778506,0.5507759032965583,UP,0.6789469122886658,0.32105308771133423
50,5,0.01,1.0,0.6881733058620926,0.5291039320129509,UP,0.5690369606018066,0.43096303939819336
150,3,0.01,1.0,0.6882151110946904,0.5392761534106213,UP,0.6028905510902405,0.3971094489097595
50,7,0.01,0.8,0.688290535759443,0.5270920254841495,UP,0.5848105549812317,0.4151894450187683
150,5,0.01,0.5,0.6888628342402555,0.5500942737622103,UP,0.7032667994499207,0.29673320055007935
50,3,0.03,1.0,0.6889390232360441,0.5392761534106213,UP,0.6182777285575867,0.38172227144241333
100,3,0.03,0.5,0.6892819118145449,0.558207864025902,UP,0.7061530351638794,0.2938469648361206
100,5,0.01,1.0,0.689835532327114,0.5270865284717756,UP,0.6187435388565063,0.38125646114349365
50,3,0.01,1.0,0.6898554724909811,0.5331772181819181,UP,0.5397765040397644,0.4602234959602356
200,5,0.01,0.5,0.6902343785455477,0.5555115794565654,UP,0.7354979515075684,0.26450204849243164
200,5,0.01,0.8,0.6902700754874475,0.5528070493686682,UP,0.7116401195526123,0.2883598804473877
100,7,0.01,0.8,0.6907268728360639,0.5291231715562591,UP,0.6334407925605774,0.3665592074394226
50,9,0.01,0.8,0.6907392795877775,0.5189646926895232,UP,0.5777761936187744,0.4222238063812256
50,3,0.05,0.5,0.6908703557102044,0.5318249531379696,UP,0.62413090467453,0.37586909532546997
150,7,0.01,0.5,0.6913336046619536,0.5352083642540278,UP,0.6789761781692505,0.3210238218307495
150,3,0.03,0.8,0.6919530485216893,0.563627918226444,UP,0.7562414407730103,0.24375855922698975
200,3,0.01,1.0,0.6923015173584384,0.538600020888647,UP,0.6272537112236023,0.3727462887763977
150,9,0.01,0.5,0.6924051927042777,0.5406201729360093,UP,0.6659762859344482,0.33402371406555176
100,3,0.03,0.8,0.6927776510958156,0.5467163596585256,UP,0.6822725534439087,0.3177274465560913
50,3,0.05,1.0,0.6933429803991628,0.5392706563982476,UP,0.6613532900810242,0.33864670991897583
250,3,0.01,1.0,0.693475015173898,0.5419834320047054,UP,0.6435967683792114,0.3564032316207886
50,5,0.05,0.8,0.6941020144915248,0.5602335130856381,UP,0.7352979183197021,0.26470208168029785
100,9,0.01,0.8,0.6943964859860031,0.535205615747841,UP,0.6238433122634888,0.37615668773651123
250,5,0.01,0.8,0.6947482440515523,0.5487392602120748,UP,0.7221499681472778,0.27785003185272217
250,5,0.01,0.5,0.6950232999787612,0.5555115794565654,UP,0.7505514025688171,0.24944859743118286
300,3,0.01,1.0,0.695252243769855,0.5440063325582546,UP,0.6535093188285828,0.34649068117141724
50,9,0.03,0.5,0.6954572908028416,0.5325120796846914,UP,0.6518039703369141,0.34819602966308594
150,3,0.03,0.5,0.6955197658471608,0.5555143279627522,UP,0.7483099699020386,0.2516900300979614
100,3,0.03,1.0,0.6955948921874752,0.5453503520836425,UP,0.6601732969284058,0.33982670307159424
50,7,0.03,0.5,0.696009301415962,0.5358927422945629,UP,0.6268845796585083,0.3731154203414917
50,5,0.03,1.0,0.696449421797722,0.5399357948954744,UP,0.6539381742477417,0.3460618257522583
50,3,0.1,0.8,0.6964687008752168,0.5528015523562944,UP,0.7151106595993042,0.2848893404006958
50,7,0.03,0.8,0.6966042959323039,0.5440090810644415,UP,0.684718906879425,0.31528109312057495
150,7,0.01,0.8,0.696818044000212,0.5399577829449693,UP,0.6893048882484436,0.3106951117515564
150,5,0.01,1.0,0.696987440852091,0.5345267347196798,UP,0.6627009510993958,0.33729904890060425
200,7,0.01,0.5,0.6971308788198712,0.5419751864861447,UP,0.7136592268943787,0.28634077310562134
100,3,0.05,0.5,0.697593628584564,0.5588812480416894,UP,0.7073652744293213,0.2926347255706787
200,9,0.01,0.5,0.6978172706185931,0.5480631276901003,UP,0.7027015686035156,0.2972984313964844
150,3,0.05,0.8,0.6992098817274904,0.5588977390788107,UP,0.7935405373573303,0.20645946264266968
300,5,0.01,0.8,0.6992801724383267,0.5521199228219462,UP,0.751214325428009,0.24878567457199097
150,3,0.03,1.0,0.6992874897094747,0.5582106125320888,UP,0.7055716514587402,0.29442834854125977
300,5,0.01,0.5,0.6997612465086748,0.5453585976022032,UP,0.7594362497329712,0.2405637502670288
100,5,0.03,0.5,0.6998029406567939,0.5561904604847266,UP,0.7454344630241394,0.2545655369758606
100,3,0.05,1.0,0.7004769160458241,0.5602417586041986,UP,0.7019457221031189,0.2980542778968811
200,3,0.03,0.8,0.7004995887573259,0.5534859303968293,UP,0.7759793996810913,0.2240206003189087
50,7,0.01,1.0,0.7005411014378072,0.505420054200542,UP,0.5379427075386047,0.46205729246139526
50,9,0.03,0.8,0.7005451134699424,0.5460347301241776,UP,0.7005128860473633,0.2994871139526367
50,9,0.01,1.0,0.7006912477822137,0.5189427046400281,DOWN,0.4868670403957367,0.5131329298019409
200,3,0.03,0.5,0.700912844062092,0.5629517857044696,UP,0.7687320113182068,0.2312679886817932
100,3,0.05,0.8,0.7011135742197642,0.554835446934591,UP,0.7444609999656677,0.2555390000343323
150,9,0.01,0.8,0.7013638670728719,0.5480603791839136,UP,0.6671488285064697,0.3328511714935303
200,5,0.01,1.0,0.7025019094201723,0.5406119274174486,UP,0.6998999714851379,0.30010002851486206
200,7,0.01,0.8,0.7030620786801657,0.5426568160204929,UP,0.7343335151672363,0.26566648483276367
200,3,0.03,1.0,0.703821032549194,0.5616050176728947,UP,0.731773853302002,0.26822614669799805
50,3,0.1,1.0,0.7041247396330022,0.5568610959943271,UP,0.7174997329711914,0.2825002670288086
100,5,0.03,0.8,0.704288183909591,0.5514410417937851,UP,0.7513233423233032,0.24867665767669678
50,5,0.05,0.5,0.7046958314985271,0.5440035840520677,UP,0.7361500263214111,0.26384997367858887
250,7,0.01,0.5,0.7050318145220693,0.542654067514306,UP,0.7371840476989746,0.2628159523010254
250,9,0.01,0.5,0.7056349273835357,0.542654067514306,UP,0.7372421622276306,0.2627578377723694
250,3,0.03,0.8,0.7057091885908217,0.5568720900190746,UP,0.8003753423690796,0.1996246576309204
100,7,0.01,1.0,0.7058347182926821,0.5176014336208271,UP,0.5742002725601196,0.42579972743988037
150,3,0.05,0.5,0.7059194748357883,0.5473924921804999,UP,0.7469455599784851,0.2530544400215149
100,9,0.01,1.0,0.7065026409679119,0.5210013357740069,DOWN,0.4818316400051117,0.5181683301925659
150,3,0.05,1.0,0.7065731166571018,0.561599520660521,UP,0.7311511635780334,0.26884883642196655
250,5,0.01,1.0,0.7071124394980363,0.5440063325582546,UP,0.7320981621742249,0.26790183782577515
250,3,0.03,0.5,0.7075413556388632,0.5541593144126168,UP,0.7961970567703247,0.2038029432296753
250,3,0.03,1.0,0.7075731582205432,0.5683663428926379,UP,0.7532459497451782,0.24675405025482178
50,7,0.05,0.8,0.7079220867621604,0.542654067514306,UP,0.6816014051437378,0.3183985948562622
200,9,0.01,0.8,0.7091770381331325,0.5548272014160304,UP,0.717475175857544,0.28252482414245605
50,3,0.1,0.5,0.7093998349044917,0.539944040414035,UP,0.6733876466751099,0.32661235332489014
150,5,0.03,0.5,0.709891532432774,0.5541565659064299,UP,0.7925236225128174,0.20747637748718262
50,5,0.05,1.0,0.7102138837777462,0.5372367618199508,UP,0.7578546404838562,0.2421453595161438
200,3,0.05,0.8,0.7103492637060019,0.5494346322773572,UP,0.8388633131980896,0.1611366868019104
300,3,0.03,0.8,0.710723441721012,0.558232600581584,UP,0.8071737289428711,0.1928262710571289
250,7,0.01,0.8,0.7110748401571806,0.5460347301241776,UP,0.7594419717788696,0.24055802822113037
300,9,0.01,0.5,0.7113850623669397,0.537918391354299,UP,0.7503111958503723,0.24968880414962769
300,7,0.01,0.5,0.711998512621296,0.5413018024703573,UP,0.7438526153564453,0.2561473846435547
100,7,0.03,0.5,0.7120613904952583,0.5419834320047054,UP,0.7137322425842285,0.2862677574157715
300,5,0.01,1.0,0.7123694326911868,0.5412963054579837,UP,0.7699816226959229,0.23001837730407715
300,3,0.03,1.0,0.7127962259170076,0.5649884287889532,UP,0.7630167603492737,0.23698323965072632
100,5,0.03,1.0,0.7137911042955797,0.5426485705019322,UP,0.7697461843490601,0.23025381565093994
150,7,0.01,1.0,0.7144773979862933,0.5291121775315116,UP,0.6212668418884277,0.37873315811157227
300,3,0.03,0.5,0.7149699855027118,0.5446879620926027,UP,0.7981564402580261,0.20184355974197388
200,3,0.05,0.5,0.7161060068378515,0.5440090810644415,UP,0.8184648156166077,0.18153518438339233
150,5,0.03,0.8,0.7163351916949048,0.5527960553439205,UP,0.7678046226501465,0.23219537734985352
300,7,0.01,0.8,0.7164966324433921,0.5467081141399649,UP,0.7778894305229187,0.2221105694770813
150,9,0.01,1.0,0.716529299461076,0.5318304501503434,UP,0.514571487903595,0.48542851209640503
50,9,0.03,1.0,0.716672905901263,0.5392679078920607,UP,0.5617273449897766,0.4382726550102234
200,3,0.05,1.0,0.71723906079533,0.5541620629188037,UP,0.7536345720291138,0.24636542797088623
