feature,importance
nifty_ret,0.027098800830300272
hsi_macd,0.025104210880003537
shanghai_macd,0.016720676583216403
dxy_rsi,0.01651608864148347
pcr,0.014726440482468248
auto_adx,0.01391749713267583
metal_adx,0.013437312464979567
bank_nifty_ret,0.012915188044246389
rel_ret,0.01236229643052863
inda_adx,0.012359056953451861
nikkei_macd,0.012311499863827418
pcr_ret,0.012254362010009553
natgas_macd,0.011839254048415486
pharma_adx,0.011766967840749676
natgas_rsi,0.011651888812928201
pharma_macd,0.011277963323500144
usvix_wr,0.010957243846009584
energy_adx,0.01067224894031472
silver_rsi,0.010030932188838082
epi_ret,0.009866044224202732
auto_ret,0.00972677540154572
us10y_rsi,0.0096383449089176
sp500_vix_ratio,0.009593553771848534
infy_ret,0.009541786064464654
pharma_ret,0.009515319876122561
pharma_wr,0.00932422279235731
itc_rsi,0.009263362090966641
bn_macd,0.009262113003617185
usvix_rsi,0.008945922735358788
macd_hist,0.008826463769360592
crude_adx,0.008779151938254268
infra_macd,0.008721151301352896
itc_ret,0.008683174159136138
energy_macd,0.008536339529093311
icici_macd,0.008517086827168353
epi_adx,0.008479419225047058
dxy_macd,0.008300384384797767
fmcg_wr,0.008276964437028807
shanghai_rsi,0.00822604165768945
adx,0.008063157316896642
tcs_wr,0.007941461644660662
fmcg_adx,0.007918065518975193
rel_adx,0.0077811529002923905
kc_width,0.00769603707367978
vix_ret,0.007678375649692371
inda_wr,0.00758714219017596
energy_rsi,0.007573207663922312
icici_rsi,0.00754631728206015
pharma_rsi,0.007510134472487328
itc_macd,0.007501293086978237
it_adx,0.00747063045133608
hsi_ret,0.007408017295520529
usvix_adx,0.007404222610806156
us10y_macd,0.00733242978342073
rel_macd,0.00729216975691752
hdfc_wr,0.007258004787046766
eem_adx,0.007231972362053549
auto_rsi,0.007218409409139477
natgas_ret,0.007165622134374407
usdinr_vel,0.007126204468432762
yield_spread,0.007042129004012311
vix,0.006968532248378777
hdfc_macd,0.006881317289782891
fmcg_rsi,0.006822470219783507
copper_rsi,0.006713507509428718
infra_adx,0.006698927340121305
ndx_ret,0.006688600392062417
us10y_ret,0.006604294276674718
icici_adx,0.006576117316004437
energy_ret,0.006573524299244571
energy_wr,0.006560904557459688
fmcg_macd,0.006473974064624232
nikkei_ret,0.006463684898429405
eem_wr,0.006347449175907314
copper_ret,0.0062938825099682185
crude_ret,0.00618213241396818
gold_rsi,0.0061398299229727775
metal_wr,0.00612364735992563
rel_rsi,0.006108437068814274
ndx_macd,0.006103733329127633
metal_rsi,0.005981697313872964
bn_vs_nifty,0.005907166903669176
gold_adx,0.005757845299895921
sp500_ret,0.00567338668950766
williams_r,0.005596757826134905
inda_macd,0.005592855058256308
silver_macd,0.005542624899495382
tcs_ret,0.005516313301944833
copper_macd,0.00551616697900037
eem_rsi,0.005478046228641436
epi_wr,0.0054381464569684314
shanghai_ret,0.005428692659547184
crude_wr,0.005426035648351149
inda_ret,0.005420962993033987
atr10,0.005386783351226806
crude_rsi,0.005316255561897341
dxy_ret,0.0051138709855386225
eem_macd,0.005068141620395714
infy_adx,0.005012004658372157
gold_ret,0.004973931580571611
infy_rsi,0.004963505030896251
tcs_rsi,0.004958293120822866
usvix_macd,0.004707616385451449
pe_ratio,0.004615432191746794
tcs_adx,0.0045896940567188875
bn_rsi,0.004430303426377685
atr5,0.00438508594146655
hdfc_ret,0.004336526653117654
epi_macd,0.004311049402983163
hdfc_adx,0.004199732128071002
crude_macd,0.00419959471518007
hsi_rsi,0.004196136727720043
infy_macd,0.0041812452157172055
itc_wr,0.00415053809957911
silver_ret,0.004120397535991875
gold_wr,0.004073484356825498
nikkei_rsi,0.004034723438756842
auto_wr,0.003971470719942483
it_ret,0.003923958895634852
rsi,0.003855617294888789
icici_ret,0.003797949436228219
it_macd,0.00378355737391832
usdinr_ret,0.0035861565573523375
usvix_ret,0.003580278264009493
infy_wr,0.003515985610222074
metal_ret,0.0033943865558265884
gold_macd,0.0033816214243587374
metal_macd,0.0033392352538346172
inda_rsi,0.0033239545283405333
it_wr,0.0030748598277867433
ema_20_dist,0.0030489391885678385
epi_rsi,0.0029677390395948435
ndx_rsi,0.0025808383261516857
infra_wr,0.0025778393170848134
infra_rsi,0.002570019626690335
rel_wr,0.0025649305937270367
infra_ret,0.002523348550310441
eem_ret,0.0022526829420750644
itc_adx,0.0021961377351679724
fmcg_ret,0.0021685541290468197
tcs_macd,0.00213252704872962
icici_wr,0.0019866148777011906
it_rsi,0.0017321098629833097
auto_macd,0.0017205267872049553
hdfc_rsi,0.0008324413170379278
